Mereni; Ux [V]; Un [V]; Rx [Ohm];dUx´ [%];dUn´ [%];uBux´ [V];uBun´ [V]
1;3,253E-05;1,713E-05;1,899E-03;0,25;0,38;2,310E-06;2,310E-06
2;3,286E-05;1,697E-05;1,936E-03;1,25;1,32;2,310E-06;2,310E-06
3;3,221E-05;1,713E-05;1,880E-03;0,75;0,38;2,310E-06;2,310E-06
4;3,275E-05;1,724E-05;1,899E-03;0,92;0,25;2,310E-06;2,310E-06
5;3,242E-05;1,746E-05;1,857E-03;0,08;1,51;2,310E-06;2,310E-06
6;3,280E-05;1,686E-05;1,945E-03;1,09;1,95;2,310E-06;2,310E-06
7;3,221E-05;1,713E-05;1,880E-03;0,75;0,38;2,310E-06;2,310E-06
8;3,226E-05;1,735E-05;1,859E-03;0,58;0,88;2,310E-06;2,310E-06
9;3,237E-05;1,735E-05;1,866E-03;0,25;0,88;2,310E-06;2,310E-06
10;3,210E-05;1,735E-05;1,850E-03;1,09;0,88;2,310E-06;2,310E-06
